OBJECTID,Shape,radicado,fecha,hora,dia,periodo,clase,direccion,direccion_enc,cbml,tipo_geocod,gravedad,barrio,comuna,diseno,dia_nombre,mes,mes_nombre,longitud,latitud,x_origen_nacional,y_origen_nacional
20,"(4713001.470000001, 2252050.129900001)",1587019,2017-06-22 00:00:00,12:00 PM,22,2017,Otro,CR 83 CL 66 B,CR  083   066 B  000 00000,0717,Malla vial aproximada: CR 83-65,HERIDO,Robledo,Robledo,Tramo de via,JUEVES   ,06,,-75.59479027,6.27467135,4713001.47,2252050.1299
21,"(4718909.1627, 2247789.8040999994)",1588706,2017-07-07 00:00:00,06:40 AM,07,2017,Volcamiento,CL 52 CR 16,CL  052   016  000 00000,0813,Malla vial,HERIDO,Villatina,Villa Hermosa,Tramo de via,VIERNES  ,07,,-75.54122796,6.23641601,4718909.1627,2247789.8041
22,"(4715869.766900001, 2254618.7128999997)",1590599,2017-07-21 00:00:00,05:40 PM,21,2017,Choque,CL 103 CR 67,CL  103   067  000 00000,0509,Malla vial,HERIDO,Girardot,Castilla,Tramo de via,VIERNES  ,07,,-75.56898944,6.29802092,4715869.7669,2254618.7129
23,"(4714270.613000001, 2253715.7035000026)",1582186,2017-05-15 00:00:00,12:30 PM,15,2017,Choque,CR 79 CL 92,CR  079   092  000 00000,0607,Malla vial,SOLO DAÑOS,Kennedy,Doce de Octubre,Tramo de via,LUNES    ,05,,-75.58339802,6.28978582,4714270.613,2253715.7035
24,"(4716381.432400001, 2255456.4155)",1589464,2017-07-12 00:00:00,06:24 PM,12,2017,Choque,CR 65 CL 110,CR  065   110  000 00000,0505,Malla vial,HERIDO,Boyacá,Castilla,Tramo de via,MIÉRCOLES,07,,-75.56440353,6.3056171,4716381.4324,2255456.4155
25,"(4713775.0967, 2245007.5320000034)",1584351,2017-06-01 00:00:00,09:15 PM,01,2017,Otro,CR 65 CL 2 B,CR  065   002 B  000 00000,1507,Malla vial,HERIDO,Campo Amor,Guayabal,Tramo de via,JUEVES   ,06,,-75.58748797,6.21103683,4713775.0967,2245007.532
26,"(4714168.099700001, 2253751.4362000003)",1582542,2017-05-18 00:00:00,05:20 PM,18,2017,Otro,CL 92 CR 79 B,CL  092   079 B  000 00000,0607,Malla vial,HERIDO,Kennedy,Doce de Octubre,Tramo de via,JUEVES   ,05,,-75.58432584,6.29010429,4714168.0997,2253751.4362
27,"(4715231.5942, 2247306.3210000023)",1577166,2017-04-05 00:00:00,08:21 AM,05,2017,Choque,CR 49 CL 29,CR  049   029  000 00000,1012,Malla vial aproximada: CR 50-30,SOLO DAÑOS,Perpetuo Socorro,La Candelaria,Tramo de via,MIÉRCOLES,04,,-75.5744314,6.23188365,4715231.5942,2247306.321
28,"(4715217.6299, 2251845.4027000014)",1591276,2017-07-27 00:00:00,05:30 PM,27,2017,Otro,CR 65 CL 74,CR  065   074  000 00000,0517,Malla vial,HERIDO,Caribe,Castilla,Lote o Predio,JUEVES   ,07,,-75.57475839,6.27291934,4715217.6299,2251845.4027
29,"(4713126.6556, 2248116.8213)",1587669,2017-06-28 00:00:00,05:20 PM,28,2017,Otro,CL 33 CR 74 E,CL  033   074 E  000 00000,1620,Malla vial aproximada: CL 33-74B,HERIDO,El Nogal-Los Almendros,Belén,Tramo de via,MIÉRCOLES,06,,-75.5934838,6.23911778,4713126.6556,2248116.8213
30,"(4713889.5663, 2245690.298100002)",1582591,2017-05-18 00:00:00,02:00 PM,18,2017,Choque,CL 10 CR 65,CL  010   065  000 00000,1506,Malla vial,SOLO DAÑOS,Parque Juan Pablo II,Guayabal,Glorieta,JUEVES   ,05,,-75.58648404,6.2172145,4713889.5663,2245690.2981
31,"(4715858.645099999, 2248550.409000002)",1585504,2017-06-09 00:00:00,10:30 AM,09,2017,Atropello,CL 43 CR 46,CL  043   046  000 00000,1013,Malla vial,HERIDO,Barrio Colón,La Candelaria,Tramo de via,VIERNES  ,06,,-75.56882124,6.24315873,4715858.6451,2248550.409
32,"(4714644.7793000005, 2248164.169300001)",1590410,2017-07-19 00:00:00,07:45 PM,19,2017,Atropello,CL 33 CR 63 B,CL  033   063 B  000 00000,1105,Malla vial,HERIDO,Los Conquistadores,Laureles Estadio,Tramo de via,MIÉRCOLES,07,,-75.57977074,6.23961322,4714644.7793,2248164.1693
33,"(4717804.6089, 2254012.7575000003)",1588159,2017-07-03 00:00:00,11:20 AM,03,2017,Atropello,CL 103 CR 45,CL  103   045  000 00000,0207,Malla vial,HERIDO,Villa del Socorro,Santa Cruz,Tramo de via,LUNES    ,07,,-75.55148045,6.29262839,4717804.6089,2254012.7575
34,"(4715445.857900001, 2249353.1613999996)",1579483,2017-04-22 00:00:00,11:20 AM,22,2017,Choque,CR 55 CL 49,CR  055   049  000 00000,1006,Malla vial,SOLO DAÑOS,San Benito,La Candelaria,Tramo de via,SÁBADO   ,04,,-75.57258601,6.25039793,4715445.8579,2249353.1614
35,"(4715026.6043, 2245293.4903000016)",1587603,2017-06-27 00:00:00,07:30 PM,27,2017,Caida Ocupante,CR 48 CL 10,CR  048   010  000 00000,1419,Malla vial,HERIDO,Manila,El Poblado,Tramo de via,MARTES   ,06,,-75.57619464,6.21367728,4715026.6043,2245293.4903
36,"(4700903.936, 2246263.1574000046)",1589844,2017-07-15 00:00:00,05:00 PM,15,2017,Volcamiento,CL 999 CR 999,CL  999   999  000 00000,,No Ubicada,HERIDO,,,Tramo de via,SÁBADO   ,07,,-75.70381587,6.22180566,4700903.936,2246263.1574
37,"(4712416.4841, 2247966.0691)",1588302,2017-07-01 00:00:00,10:50 AM,01,2017,Choque,CR 80 CL 32 EE,CR  080   032 EE 000 00000,1620,Malla vial,SOLO DAÑOS,El Nogal-Los Almendros,Belén,Tramo de via,SÁBADO   ,07,,-75.59989292,6.23772326,4712416.4841,2247966.0691
38,"(4717241.3745, 2242808.024500003)",1578160,2017-04-14 00:00:00,09:45 AM,14,2017,Choque,CL 4 Sur CR 13,CL S 004   013  000 00000,1411,Malla vial aproximada: CL S 5-13,HERIDO,Los Balsos No.1,El Poblado,Tramo de via,VIERNES  ,04,,-75.55607812,6.19130379,4717241.3745,2242808.0245
39,"(4716466.947900001, 2254135.7118000016)",1582193,2017-05-15 00:00:00,06:15 AM,15,2017,Choque,CR 63 CL 101 C,CR  063   101 C  000 00000,0508,Malla vial,SOLO DAÑOS,Belalcázar,Castilla,Tramo de via,LUNES    ,05,,-75.56357222,6.29368078,4716466.9479,2254135.7118
40,"(4715371.9814, 2250455.747300001)",1580711,2017-05-03 00:00:00,06:00 AM,03,2017,Choque,CR 62 CL 58,CR  062   058  000 00000,1004,Malla vial cruce invertido,SOLO DAÑOS,El Chagualo,La Candelaria,Tramo de via,MIÉRCOLES,05,,-75.57330223,6.26036278,4715371.9814,2250455.7473
